"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HIVARegistration","HIVARegistration","","","",0,*,"","","","null {[]} {[]}
","HIV.A Registration","This tab describes the data that are collected during the registration workflow (HIV.A)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVARegistration.firstName","HIVARegistration.firstName","","","",1,1,"","","","string {[]} {[]}
","First name","Client's first or given name","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE1
",,,,"HIVARegistration.firstName",1,1,"",""
"HIVARegistration.familyName","HIVARegistration.familyName","","","",1,1,"","","","string {[]} {[]}
","Family name","Client's family name or last name","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE2
",,,,"HIVARegistration.familyName",1,1,"",""
"HIVARegistration.visitDate","HIVARegistration.visitDate","","","",1,1,"","","","dateTime {[]} {[]}
","Visit date","The date and time of the client's visit","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE3
",,,,"HIVARegistration.visitDate",1,1,"",""
"HIVARegistration.referral","HIVARegistration.referral","","","",1,1,"","","","boolean {[]} {[]}
","Referral","If client was referred for care","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE4
",,,,"HIVARegistration.referral",1,1,"",""
"HIVARegistration.referredBy","HIVARegistration.referredBy","","","",0,1,"","","","Coding {[]} {[]}
","Referred by","How the client was referred","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.A.DE5","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE5
",,,,"HIVARegistration.referredBy",0,1,"",""
"HIVARegistration.uniqueIdentifier","HIVARegistration.uniqueIdentifier","","","",1,1,"","","","Identifier {[]} {[]}
","Unique identifier","Unique identifier generated for new clients or a universal ID, if used in the country","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE8
",,,,"HIVARegistration.uniqueIdentifier",1,1,"",""
"HIVARegistration.nationalId","HIVARegistration.nationalId","","","",0,1,"","","","Identifier {[]} {[]}
","National ID","National unique identifier assigned to the client, if used in the country","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE9
",,,,"HIVARegistration.nationalId",0,1,"",""
"HIVARegistration.nationalHealthId","HIVARegistration.nationalHealthId","","","",0,1,"","","","Identifier {[]} {[]}
","National health ID","National health unique identifier assigned to the client, if used in the country","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE10
",,,,"HIVARegistration.nationalHealthId",0,1,"",""
"HIVARegistration.nationalProgrammeId","HIVARegistration.nationalProgrammeId","","","",0,1,"","","","Identifier {[]} {[]}
","National programme ID","National programme unique identifier assigned to the client, if used in the country","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE11
",,,,"HIVARegistration.nationalProgrammeId",0,1,"",""
"HIVARegistration.nationalHealthInsuranceId","HIVARegistration.nationalHealthInsuranceId","","","",0,1,"","","","Identifier {[]} {[]}
","National health insurance ID","National health insurance unique identifier assigned to the client, if used in the country","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE12
",,,,"HIVARegistration.nationalHealthInsuranceId",0,1,"",""
"HIVARegistration.countryOfBirth","HIVARegistration.countryOfBirth","","","",1,1,"","","","Coding {[]} {[]}
","Country of birth","Country where the client was born","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.A.DE13","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE13
",,,,"HIVARegistration.countryOfBirth",1,1,"",""
"HIVARegistration.dateOfBirth","HIVARegistration.dateOfBirth","","","",0,1,"","","","date {[]} {[]}
","Date of birth","The client's date of birth (DOB) if known","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.A.DE14
",,,,"HIVARegistration.dateOfBirth",0,1,"",""
